comparison,crowding,sample_id,stroke_x0,stroke_y0,stroke_x1,stroke_y1,stroke_width,stroke_value,stroke_length_normalized,changed_pixel_count,changed_pixel_fraction,pixel_mean_absolute_difference,global_cosine_distance,patch_mean_cosine_distance,patch_max_cosine_distance,patch_top10pct_mean_cosine_distance,changed_patch_fraction,patch_changed_region_mean_cosine_distance,patch_unchanged_region_mean_cosine_distance,localization_enrichment,localization_topk_recall,localization_topk_lift,patch_reference_region_mean_cosine_distance,patch_reference_outside_mean_cosine_distance,reference_region_enrichment
sparse_pixel_matched_noise,5,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,46,0.01123046875,0.006291168741881847,0.07507926225662231,0.13948458433151245,0.6013821363449097,0.45751577615737915,0.16796875,0.18384920060634613,0.13052833080291748,1.4085003575502466,0.302325576543808,1.7998918045398802,0.036142222583293915,0.14325007796287537,0.2523015910166591
add_stroke,5,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,46,0.01123046875,0.006291168741881847,0.045971810817718506,0.05223636329174042,0.41241443157196045,0.21013538539409637,0.03515625,0.2585843503475189,0.044717613607645035,5.7826062145523505,0.5555555820465088,15.802469889322916,0.2585843503475189,0.044717613607645035,5.7826062145523505
shift_position,5,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,94,0.02294921875,0.014016544446349144,0.032382845878601074,0.04716392606496811,0.3906353712081909,0.23754380643367767,0.05859375,0.2176758497953415,0.03655115142464638,5.955375995311684,0.5333333611488342,9.102222696940105,0.21210023760795593,0.041154105216264725,5.15380510627967
change_width,5,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,110,0.02685546875,0.016672411933541298,0.032805442810058594,0.05152237415313721,0.5654627084732056,0.2957315742969513,0.05859375,0.37330353260040283,0.03149449825286865,11.852976021499272,0.8666666746139526,14.791111246744792,0.42720842361450195,0.03783341124653816,11.291829352384724
change_intensity,5,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,46,0.01123046875,0.007046568673104048,0.028299391269683838,0.028674304485321045,0.3384694457054138,0.12160293757915497,0.03515625,0.18882927298545837,0.022838696837425232,8.267953041700187,0.5555555820465088,15.802469889322916,0.18882927298545837,0.022838696837425232,8.267953041700187
no_change,15,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,0,0.0,0.0,0.0,1.6298145055770874e-08,2.384185791015625e-07,1.2150177042258292e-07,0.0,,1.6298145055770874e-08,,,,0.0,1.689200423982129e-08,0.0
tiny_pixel_noise,15,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,1638,0.39990234375,0.002237477106973529,0.011513471603393555,0.030700448900461197,0.24053019285202026,0.13841170072555542,1.0,0.030700448900461197,,,1.0,1.0,0.009791175834834576,0.031462326645851135,0.31120317149608245
pixel_matched_noise,15,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,2153,0.525634765625,0.006024050060659647,0.0215834379196167,0.040603142231702805,0.23867684602737427,0.14456939697265625,1.0,0.040603142231702805,,,1.0,1.0,0.02281426079571247,0.04125132039189339,0.5530552859635465
sparse_pixel_matched_noise,15,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,46,0.01123046875,0.006047028116881847,0.036839962005615234,0.08662749081850052,0.6073595285415649,0.40574681758880615,0.17578125,0.11439486593008041,0.08070553094148636,1.4174352686313372,0.2222222238779068,1.264197540283203,0.02689269557595253,0.08880405128002167,0.3028318549471696
add_stroke,15,1,0.28107406109154015,0.7378966517865971,0.446994195677409,0.37470321304918414,2,0,0.3992980904072793,46,0.01123046875,0.006047028116881847,0.008821189403533936,0.01781773380935192,0.433732271194458,0.09372838586568832,0.03515625,0.141240656375885,0.013320542871952057,10.603220734590595,0.5555555820465088,15.802469889322916,0.141240656375885,0.013320542871952057,10.603220734590595
